Altergruppe;2020-KW01;2020-KW02;2020-KW03;2020-KW04;2020-KW05;2020-KW06;2020-KW07;2020-KW08;2020-KW09;2020-KW10;2020-KW11;2020-KW12;2020-KW13;2020-KW14;2020-KW15;2020-KW16;2020-KW17;2020-KW18;2020-KW19;2020-KW20;2020-KW21;2020-KW22;2020-KW23;2020-KW24;2020-KW25;2020-KW26;2020-KW27;2020-KW28;2020-KW29;2020-KW30;2020-KW31;2020-KW32;2020-KW33;2020-KW34;2020-KW35;2020-KW36;2020-KW37;2020-KW38;2020-KW39;2020-KW40;2020-KW41;2020-KW42;2020-KW43;2020-KW44;2020-KW45;2020-KW46;2020-KW47;2020-KW48;2020-KW49;2020-KW50;2020-KW51;2020-KW52;2020-KW53;2021-KW01;2021-KW02;2021-KW03
Gesamt;16;21;16;3;16;8;5;5;141;914;6465;22515;34277;36410;27441;17574;12482;7515;6268;4796;3648;3247;2374;2356;4142;3223;2704;2437;3036;3953;4843;6075;7972;9619;8830;8635;9789;12358;13135;15946;26193;42154;74885;111214;125897;127956;128599;123485;128497;156414;174775;138952;123109;145027;118179;4940
00-04;;;1;;1;1;1;1;3;8;38;150;264;288;250;167;184;134;141;117;124;89;108;110;160;137;143;149;141;161;158;190;277;286;224;229;230;297;307;328;527;894;1470;2250;2431;2427;2384;2341;2319;2699;3120;2119;1533;1920;1849;90
05-09;;;;1;;;;;2;9;57;174;261;302;242;170;155;124;106;112;85;114;99;123;176;140;124;116;140;153;199;286;408;382;353;318;325;357;391;432;627;971;1833;2794;3365;3618;3918;3817;3677;4248;4293;2998;1932;2374;2184;100
10-14;;;;;;;;;1;21;104;256;390;439;316;245;189;139;126;119;110;119;103;120;192;149;105;103;151;193;251;364;546;576;483;430;499;523;590;711;1143;1660;2747;4087;4778;5345;5306;5184;5159;5680;5255;3366;2638;3294;2699;95
15-19;;1;1;;;;;1;6;44;182;544;957;1093;871;577;408;266;259;182;155;162;162;112;243;169;140;151;191;248;365;545;742;883;833;770;833;1057;1067;1331;2083;2973;4857;7191;8415;8703;8209;7469;7728;8826;8464;5848;4962;6341;5372;204
20-24;1;;;;;;;;14;72;327;1456;2280;2267;1749;1253;968;598;512;417;315;295;232;251;376;260;259;237;302;378;521;746;1167;1551;1329;1250;1292;1524;1592;1738;2794;4386;7555;10436;11752;11051;10236;8959;9199;10789;12118;9048;8600;10882;8452;363
25-29;;1;1;;3;1;;1;21;79;548;2016;2712;2505;1950;1314;1006;687;520;394;352;319;224;243;399;325;318;229;310;414;510;610;841;1195;1225;1160;1233;1490;1442;1747;2694;4485;7311;10334;11160;10698;9952;9001;9135;10791;12098;9399;8435;10770;8490;350
30-34;1;1;1;;2;2;;;23;72;535;2056;2658;2441;1772;1222;919;569;489;395;323;275;207;224;415;334;261;259;297;384;427;516;701;950;854;940;941;1207;1306;1525;2366;3868;6721;9576;10482;10485;10103;9381;9469;11521;12988;10041;9176;11539;8990;391
35-39;1;1;2;;2;1;;;7;68;552;1759;2405;2229;1678;1003;770;472;423;357;281;247;156;195;384;300;227;207;253;363;383;515;648;763;715;649;700;905;1010;1153;1828;3115;5391;8092;8959;9185;9204;8729;9144;10985;12196;9491;8092;10074;7943;299
40-44;;;;;4;;2;;16;87;573;1810;2348;2335;1691;1036;706;462;407;361;243;213;175;158;455;272;214;192;255;322;429;490;642;717;661;648;689;845;863;1048;1869;2910;5303;7870;8869;8981;9236;8796;8820;10881;11971;9488;8033;9487;7488;297
